ATC_E53A76
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1708407890;21.61;82.82;2502
1708409692;21.66;82.88;2501
1708411494;21.71;82.83;2504
1708413296;21.75;82.8;2501
1708415099;21.77;82.45;2501
1708416901;21.76;82.17;2501
1708418703;22.1;79.43;2503
1708420505;22.81;78.67;2504
1708422308;23.17;78.76;2508
1708424107;22.97;75.52;2508
1708425912;22.02;73.58;2505
1708427714;21.93;73.37;2500
1708429517;22.74;73.52;2505
1708431319;23.17;73.19;2510
1708433121;23.34;72.62;2512
1708434923;23.46;71.96;2511
1708436726;23.57;71.11;2512
1708438528;23.72;70.63;2516
1708440330;23.85;70.35;2516
1708442132;23.91;69.5;2517
1708443935;24.04;68.76;2517
1708445735;24.14;68.04;2518
1708447539;24.22;67.49;2520
1708449342;24.29;67.04;2519
1708451144;24.31;66.12;2521
1708452946;24.39;65.83;2518
1708454749;24.51;65.39;2518
1708456551;24.3;68.13;2518
1708458353;24.49;67.11;2518
1708460155;24.58;65.65;2519
1708461957;24.56;64.26;2520
1708463757;23.7;63.26;2520
1708465562;23.11;64.97;2515
1708467364;22.93;66.32;2513
1708469166;22.81;67.15;2512
1708470969;22.76;67.58;2510
1708472771;22.71;67.86;2509
1708474573;22.66;68.15;2510
1708476375;22.61;68.4;2511
1708478178;22.59;68.79;2511
1708479977;22.58;68.73;2513
1708481779;22.66;65.75;2511
1708483584;22.77;64.81;2510
1708485386;22.76;66.28;2512
1708487189;22.71;66.89;2512
1708488988;22.69;67.09;2514
1708490793;22.66;67.12;2514
1708492593;22.65;67.37;2512
1708494398;22.64;67.42;2513
1708496197;22.62;67.46;2513
1708498002;22.59;67.13;2511
1708499804;22.56;67.48;2512
1708501607;22.54;67.24;2513
1708503409;22.52;67.05;2512
1708505211;22.94;64.17;2512
1708507013;23.67;61.8;2518
1708508816;24.16;60.94;2523
1708510618;24.45;60.13;2524
1708512420;24.51;59.53;2525
1708514222;24.8;58.69;2524
1708516025;24.87;57.44;2525
1708517827;24.89;56.55;2529
1708519629;24.93;55.97;2528
1708521431;24.91;55.26;2527
1708523234;24.9;55.2;2526
1708525036;24.94;55.16;2526
1708526838;24.99;55.1;2530
1708528638;25.02;54.94;2529
1708530443;25.19;54.72;2528
1708532245;25.31;54.76;2529
1708534047;25.36;54.96;2529
1708535849;25.43;54.76;2531
1708537652;25.24;55.24;2531
1708539454;25.18;54.47;2530
1708541256;25.32;53.18;2529
1708543058;25.37;53.2;2528
1708544861;25.35;52.04;2529
1708546663;25.41;51.46;2528
1708548465;25.36;50.46;2530
1708550268;24.27;50.22;2527
1708552070;23.46;51.5;2520
1708553872;23.15;53.34;2515
1708555674;23.02;54.71;2514
1708557476;22.98;55.31;2512
1708559278;22.91;56.1;2513
1708561081;22.84;56.95;2514
1708562883;22.81;57.89;2516
1708564683;22.78;58.18;2517
1708566485;22.74;59.08;2514
1708568290;22.77;62.71;2513
1708570092;22.79;64.92;2514
1708571894;22.8;66.6;2512
1708573696;22.82;67.87;2512
1708575499;22.81;68.82;2516
1708577301;22.8;69.6;2515
1708579103;22.78;70.09;2514
1708580905;22.75;70.61;2514
1708582708;22.72;71;2515
1708584510;22.68;71.39;2513
1708586312;22.66;71.8;2514
1708588114;22.65;72.22;2515
1708589917;22.66;72.71;2518
1708591716;23.15;69.75;2517
1708593521;24.06;64.77;2523
1708595323;24.43;61.14;2527
1708597126;24.65;58.75;2530
1708598928;24.7;57.15;2529
1708600730;23.9;79.22;2519
1708602532;23.3;85.71;2501
1708604335;23.25;86.24;2499
1708606134;23.22;85.12;2500
1708607939;22.95;82.35;2501
1708609741;22.85;81.98;2502
1708611541;23.07;81.57;2504
1708613346;23.34;81.27;2505
1708615145;23.42;80.82;2505
1708616950;23.57;80.01;2504
1708618753;23.78;79.51;2505
1708620555;23.96;78.77;2508
1708622357;24.04;78.02;2512
1708624157;23.97;77.05;2509
1708625959;23.92;75.89;2509
1708627764;23.98;75.88;2511
1708629566;24.04;75.22;2511
1708631368;24.09;74.43;2513
1708633171;24.14;73.4;2513
1708634973;24.14;72.49;2512
1708636775;23.2;71.01;2509
1708638577;22.57;70.53;2504
1708640380;22.33;71.29;2504
1708642182;22.19;71.28;2504
1708643984;21.99;70.53;2503
1708645786;21.86;70.53;2504
1708647588;21.87;71.29;2505
1708649388;21.93;70.97;2504
1708651193;21.96;70.77;2504
1708652995;22.01;70.86;2507
1708654798;22.05;70.72;2505
1708656597;22.07;70.5;2507
1708658399;22.09;70.33;2505
1708660202;22.13;70.18;2504
1708662004;22.16;70.04;2506
1708663809;22.22;69.94;2505
1708665608;22.23;69.55;2506
1708667413;22.26;69.55;2510
1708669215;22.28;69.33;2508
1708671018;22.3;69.42;2509
1708672820;22.32;69.24;2511
1708674622;22.32;69.06;2510
1708676424;22.36;71.12;2511
1708678227;22.86;70.6;2514
1708680031;23.66;66.71;2518
1708681833;22.71;71.77;2513
1708683636;22.56;70;2505
1708685436;23.08;67.19;2504
1708687240;23.41;65.77;2504
1708689043;23.71;64.17;2507
1708690845;23.79;62.44;2511
1708692650;23.44;61.12;2509
1708694452;22.6;61.08;2506
1708696252;22.41;61.29;2502
1708698057;22.35;61.14;2502
1708699856;22.3;60.49;2503
1708701661;22.28;60.32;2506
1708703466;22.25;59.79;2503
1708705268;22.23;59.59;2501
1708707070;22.22;59.28;2505
1708708873;22.07;58.21;2506
1708710672;21.93;58.95;2505
1708712477;21.85;59.35;2502
1708714280;21.83;59.45;2499
1708716082;21.84;59.79;2502
1708717884;21.75;59.26;2505
1708719686;21.64;59.42;2502
1708721489;21.61;59.15;2503
1708723288;21.59;58.58;2503
1708725091;21.56;58.37;2500
1708726895;21.59;59.39;2500
1708728698;21.73;61.75;2502
1708730500;21.86;65.9;2505
1708732302;21.96;67.47;2504
1708734105;22;68.61;2505
1708735907;22.03;69.49;2503
1708737709;22.04;70.2;2505
1708739511;22.06;70.84;2504
1708741313;22.06;71.34;2504
1708743116;22.07;71.82;2506
1708744918;22.07;72.23;2510
1708746720;22.06;72.59;2509
1708748523;22.05;72.93;2504
1708750325;22.03;73.27;2503
1708752127;22.02;73.59;2504
1708753929;22.03;73.86;2504
1708755732;22.02;74.13;2504
1708757534;22.01;74.36;2509
1708759336;22.01;74.58;2514
1708761138;22.03;74.8;2511
1708762940;22.04;74.99;2510
1708764743;22.02;75.08;2510
1708766545;21.95;74.88;2509
1708768347;21.96;75.35;2511
1708770149;22.01;75.53;2506
1708771952;22.05;74.42;2502
1708773754;22.06;72.71;2503
1708775556;21.99;69.41;2503
1708777358;22.07;69.98;2501
1708779161;22.14;69.02;2502
1708780963;20.81;84.8;2501
1708782765;20.71;86.61;2484
1708784567;21.46;85.29;2490
1708786370;21.8;84.01;2498
1708788172;22.5;81.8;2506
1708789974;23.22;79.05;2511
1708791776;23.38;75.86;2510
1708793579;23.44;72.33;2510
1708795381;23.56;69.29;2511
1708797183;23.63;66.66;2512
1708798985;23.61;63.95;2513
1708800788;23.61;62.03;2511
1708802590;23.6;60.4;2514
1708804392;23.6;58.76;2513
